Location,Name,Rating,Address,Phone Number,Num Reviews,Num Photos,Price Range Per Person (CAD),Cuisine Type 1,Cuisine Type 2,Cuisine Type 3,Cuisine Type 4,Cuisine Type 5,Cuisine Type 6,Cuisine Type 7,Cuisine Type 8
Richmond,Garden City Hot Pot,4.1,"8788 McKim Way, Richmond, Richmond V6X4E2",+16043030909,156,91,40.0,Dim Sum,Chinese,Asian,,,,,
Richmond,Banzai Sushi House,3.9,"40-8251 Westminster Highway, Richmond V6X 1A7",+16048210355,195,95,17.5,Sushi,Japanese,Asian,,,,,
Richmond,Thai Son Restaurant,4.0,"4791 McClelland Road, Richmond, Richmond V6X 0M5",+16042786436,165,118,12.5,Vietnamese,,,,,,,
Richmond,Silver Tower Cafe Restaurant,3.9,"100-8500 Alexandra Road, Richmond V6X 1C3",+16042071199,169,146,20.0,Chinese,Hong Kong Style,Asian,,,,,
Richmond,Koto Izakaya,3.8,"101-8171 Alexandra Road, Richmond V6X 1C3",+16042784601,164,80,15.0,Sushi,Japanese,Asian,,,,,
Richmond,Well Tea,3.2,"170-4811 Hazelbridge Way, Richmond V6X 3K7",+16042787268,196,105,12.5,Asian,Taiwanese,Bubble Tea,Beverages,,,,
Richmond,Gokudo Shabu Shabu Hot Pot,4.0,"Continental Centre, 2133-3779 Sexsmith Road, Richmond V6X 3Z9",+16042329078,123,115,22.5,Japanese,Taiwanese,Asian,,,,,
Richmond,Tsukiji Japanese Restaurant,3.8,"Garden City Plaza, 135-4731 Garden City Road, Richmond V6X 3M7",+16042762628,98,168,35.0,Sushi,Japanese,Asian,,,,,
Richmond,River Rock Buffet - River Rock Casino Resort,3.2,"River Rock Casino Resort, 8811 River Road, Richmond V6X 3P8",+16042478935,147,272,45.0,Pacific Northwest,Italian,Asian,,,,,
Richmond,Kongee Dinesty,3.8,"150-9020 Capstan Way, Richmond V6X 3V9",+16042780077,96,156,15.0,Chinese,Asian,,,,,,
Richmond,Shiang Garden Seafood Restaurant,3.8,"Empire Centre, 1200-4540 Number 3 Road, Richmond V6X",+16042738858,116,261,25.0,Dim Sum,Chinese,,,,,,
Richmond,Manzo,3.8,"2170-8391 Alexandra Road, Richmond V6X",+16042762882,127,128,20.0,Japanese,,,,,,,
Richmond,Parklane Chinese Restaurant,3.8,"200-7997 Westminster Highway, Richmond V6X 1A4",+16042730888,89,246,32.5,Dim Sum,Chinese,Asian,,,,,
Richmond,Gingeri Chinese Cuisine,3.2,"Lansdowne Centre, 323-5300 Number 3 Road, Richmond V6X",+16042786006,123,230,27.5,Dim Sum,Cantonese,Chinese,Asian,,,,
Richmond,Kam Do Bakery,4.1,"Richmond Centre, 130-6211 Number 3 Road, Richmond V6Y",+16042319216,158,86,5.0,Bakery,Chinese,Asian,,,,,
Richmond,Bubble World,3.9,"8368 Capstan Way, Suite 1318, Richmond V6X 2H6",+16042325222,149,157,15.0,Bubble Tea,Beverages,Asian,,,,,
Richmond,Frappe Bliss,4.1,"3070-4151 Hazelbridge Way, Richmond V6X 4J7",+16042956600,139,40,12.5,Desserts,Asian,,,,,,
Richmond,Max Noodle House,3.7,"Alexandra Plaza, 190-8291 Alexandra Road, Richmond V6X",+16042318141,110,104,15.0,Cantonese,Chinese,,,,,,
Richmond,Master Hung BBQ Restaurant,4.0,"8780 Blundell Road, Richmond V6Y 2N6",+16042723813,126,92,20.0,Chinese,Asian,,,,,,
Richmond,Ebisu,3.6,"Richport Town Centre, 100-8111 Ackroyd Road, Richmond V6X 3J9",+16042704846,147,179,27.5,Sushi,Japanese,Asian,,,,,
Richmond,Shibuyatei,4.0,"125-2971 Sexsmith Road, Richmond V6X 2H4",+17782971777,85,32,15.0,Sushi,Japanese,Asian,,,,,
Richmond,Specialty Chicken & Wonton House,3.6,"80-90 8100 Ackroyd Road, Richmond V6X3J9",+16042788239,79,272,20.0,Chinese,Asian,,,,,,
Richmond,Sushi House,3.8,"2182-3779 Sexsmith Road, Richmond V6X 3Z9",+16042331015,139,121,15.0,Sushi,Japanese,Asian,,,,,
Richmond,Amigo Restaurant,3.7,"Alexandra Plaza, 160-8291 Alexandra Road, Richmond V6X1C3",+16042316028,105,100,15.0,Chinese,Hong Kong Style,Asian,,,,,
Richmond,Hanppy Tofu Pot House,3.7,"Union Square, 1138-8328 Capstan Way, Richmond V6X 2H6",+16042471079,120,83,12.5,Korean,Asian,,,,,,
Richmond,Wu Fung Dessert,4.1,"3220-4151 Hazelbridge Way, Richmond V6X 4J7",+16042845635,146,47,12.5,Fast Food,Hong Kong Style,Cantonese,Chinese,Asian,,,
Richmond,The Boathouse Restaurant,3.8,"8331 River Road, Richmond V6X 1Y1",+16042737014,149,154,37.5,Seafood,Steak,,,,,,
Richmond,Saboten,3.3,"3180-4151 Hazelbridge Way, Richmond V6X 4J7",+16042959351,145,114,12.5,Fast Food,Japanese,Asian,,,,,
Richmond,Ginger Indian Cuisine,4.0,"9100 Blundell Road #490, Central Richmond, Richmond V6X",+16043701200,102,56,20.0,Indian,,,,,,,
Richmond,Cocoru,3.4,"8391 Alexandra Road, Richmond V6X 1C3",+16042858569,48,93,,Asian,,,,,,,
Richmond,Point Zero Four Fusion,2.4,"140-8500 Alexandra Road, Richmond V6X 1C3",+16042781213,83,147,20.0,Chinese,Asian,,,,,,
Richmond,Red Star Seafood,3.1,"2200-8181 Cambie Road, Richmond V6X 3X9",+16042703003,94,144,25.0,Chinese,Asian,,,,,,
Richmond,Carver's Steakhouse - Executive Airport Plaza Hotel,3.6,"Executive Airport Plaza Hotel, 7211 Westminster Highway, Richmond V6X 1A3",+16042077107,94,134,45.0,Steak,Canadian,,,,,,
Richmond,Toku Japanese Restaurant,3.0,"Lansdowne Centre, 221-5300 Number 3 Road, Richmond V6X 2C7",+16042855877,78,138,32.5,Sushi,Japanese,,,,,,
Richmond,Bánh Mi Très Bon,3.8,"1840-4720 McClelland Road, Richmond",+17789287298,51,133,7.5,Sandwich,Vietnamese,Desserts,,,,,
Richmond,Uncle Lu,3.4,"1101-3779 Sexsmith Road, Richmond V6X 1J8",+16043700250,76,129,12.5,Taiwanese,Chinese,Asian,,,,,
Richmond,Golden Paramount Seafood Restaurant,3.8,"8111 Anderson Road, Richmond, BC V6Y 3Z8, Canada, Richmond V6Y 1S8",+16042780873,73,123,30.0,Dim Sum,Chinese,Asian,,,,,
Richmond,Taiwan Taipei Original Pot,3.7,"Venezia Place, 1160-8580 Alexandra Road, Richmond V6X4B3",+17782979777,61,55,25.0,Chinese,Taiwanese,,,,,,
Richmond,Beard Papa's,4.0,"Aberdeen Centre, 3160-4151 Hazelbridge Way, Richmond V6J4J7",+16042330949,160,71,5.0,Desserts,,,,,,,
Richmond,Wo Fung Noodle Express,3.9,"190-8400 Alexandra Road, Richmond V6X 1C3",+16042845635,87,35,10.0,Fast Food,Chinese,,,,,,
Richmond,L'otus Cake Boutique,3.4,"103-8580 Cambie Road, Richmond, Richmond V6X 4K1",+16042859925,33,47,7.5,Bakery,Desserts,Beverages,,,,,
Richmond,Enjoy Cafe 1+1,3.4,"200-8171 Westminster Highway, Richmond V6X 1A7",+16042310037,92,101,17.5,Chinese,Asian,,,,,,
Richmond,Shi-Art Chinese Cuisine,3.0,"Richmond Centre, 1302-6551 Number 3 Road, Richmond V6Y",+16042798998,89,178,22.5,Dim Sum,Chinese,Asian,,,,,
Richmond,James Snacks,3.9,"Empire Centre, Food Court, 1160-4540 Number 3 Road, Richmond V6X4E8",+16047161328,57,54,12.5,Fast Food,Cantonese,Chinese,,,,,
Richmond,Chubby Lamb Hot Pot,3.7,"8391 Alexandra Road, Richmond V6X1C3",+16043038843,94,100,22.5,Chinese,Asian,,,,,,
Richmond,0755 Restaurant & Lounge,2.7,"Continental Centre, 2188-3779 Sexsmith Road, Richmond V6X",+16042730755,96,127,27.5,Chinese,Asian Fusion,,,,,,
Richmond,Bubble Waffle Cafe,3.6,"Aberdeen Centre, Food Court, 3000-4151 Hazelbridge Way, Richmond V6X 0A4",+16043702211,114,81,10.0,Hong Kong Style,Chinese,,,,,,
Richmond,Pho An Nam,4.0,"6820 Number 3 Road, Richmond V6Y 1P3",+16042799097,94,65,15.0,Vietnamese,Asian,,,,,,
Richmond,Mazazu Crepe,2.9,"Aberdeen Centre, Food Court, 3110-4151 Hazelbridge Way, Richmond",+16042959359,103,51,10.0,Desserts,Japanese,Asian,,,,,
Richmond,Taco Luis,4.3,"Lansdowne Centre, Food Court, 1040-5300 Number 3 Road, Richmond V6X 2X9",+16042788496,121,29,10.0,Fast Food,Mexican,,,,,,
Richmond,Manzo Japanese Restaurant Itamae,3.2,"9020 Capstan Way#120, Richmond V6X 3V9",+16048219834,82,109,20.0,Sushi,Japanese,Asian,,,,,
Richmond,Sanbo Restaurant,3.5,"121-4600, Number 3 Road, Richmond, B.C. V6X 2C2, Richmond V6Y 2B3",+16042782616,73,113,25.0,Chinese,Asian,,,,,,
Richmond,Teppan Kitchen,3.8,"Aberdeen Centre, Food Court, 3250-4151 Hazelbridge Way, Richmond V6X 3R8",+16042956656,81,80,12.5,Fast Food,Japanese,Asian,,,,,
Richmond,Mambo Cafe,3.8,"3020-4151 Hazelbridge Way, Richmond V6X 4J7",+16042733669,95,70,12.5,Chinese,Fast Food,,,,,,
Richmond,Xi'An Cuisine,4.0,"Richmond Public Market, Second Floor, Food Court, 2370-8260 Westminster Highway, Richmond V6X 1A7",+16042799727,66,51,12.5,Fast Food,Chinese,Asian,,,,,
Richmond,"The Apron - The Westin Wall Centre, Vancouver Airport",3.7,"The Westin Wall Centre, Vancouver Airport, 3099 Corvette Way, Richmond V6X3A3",+16042382105,50,53,45.0,Pacific Northwest,,,,,,,
Richmond,Cafe D'Lite Express,3.6,"3210-4151 Hazelbridge Way, Richmond V6X 4J7",+16042956603,109,51,12.5,Fast Food,Malaysian,Singaporean,Asian,,,,
Richmond,Dolpan Seoul BBQ,3.5,"3779 Sexsmith Road, Vancouver, Richmond V6X 1J8",+16042739220,29,74,,Korean,,,,,,,
Richmond,Happy Tree House BBQ,3.5,"8171 Alexandra Road, Richmond V6X 1C3",+17782971386,32,85,,Chinese,Asian,,,,,,
Richmond,Kingspark Steak House,3.6,"180-8291 Westminster Highway, Richmond V6X 1A7",+16042318798,96,70,15.0,Chinese,Asian,Steak,,,,,
Richmond,Tin Tin Seafood Harbour,3.2,"3711 Number 3 Road, Richmond V6X 2B8",+16043703883,54,155,22.5,Dim Sum,Chinese,Asian,,,,,
Richmond,Joy's Taiwanese Kitchen,3.9,"Parker Place, Food Court, 1100-4380 Number 3 Road, Richmond V6X 4E8",+16042704898,45,28,12.5,Fast Food,Taiwanese,Chinese,Asian,,,,
Richmond,Hugo's Churros,3.3,"McArthur Glen Designer Outlets, 1000-7899 Templeton Station Road, Richmond",+16042315525,36,40,7.5,Mexican,Desserts,,,,,,
Richmond,Pho Viet Vietnamese Beef & Chicken Noodle Soup,3.9,"110-8291 Westminster Highway, Richmond V6X1A7",+16042736399,91,35,12.5,Vietnamese,Asian,,,,,,
Richmond,Cherry Fruit Juice & Icy Bar,4.0,"1515-4380 Number 3 Road, Richmond V6X 4E8",+16042738337,64,28,5.0,Beverages,Desserts,Asian,,,,,
Richmond,Sing Yee Chinese Restaurant,3.3,"Continental Centre, 2118-3779 Sexsmith Road, Richmond V6X 3Z9 3Z9",+16042321328,47,150,15.0,Cantonese,Chinese,Asian,,,,,
Richmond,Chatime Richmond,3.5,"9100 Blundell Road, Richmond V6Y 2N9",+16042852428,88,45,7.5,Beverages,Bubble Tea,,,,,,
Richmond,Cafe Savoureux,3.8,"Union Square, 1326-8368 Capstan Way, Richmond V6X 4B5",+16042072589,52,31,10.0,Cafe,,,,,,,
Richmond,Nu Chinese Bistro,3.3,"Cosmo Plaza, 2170-8788 McKim Way, Richmond V6X 4E2",+17782979998,59,185,22.5,Chinese,,,,,,,
Richmond,Beijiang Restaurant,3.6,"8111 Leslie Road, Central Richmond, Richmond V6X4B3",+17782976656,55,98,20.0,Xinjiang,Chinese,Asian,,,,,
Richmond,Bone Sushi,3.5,"Empire Centre, 1040-4540 Number 3 Road, Richmond V6X 4E4",+16043037735,62,62,15.0,Sushi,Japanese,Asian,,,,,
Richmond,Avery Cakes & Tea House,2.7,"112-4751 Garden City Road, Richmond, Richmond V6S 3M7",+16042857771,9,143,,Bakery,Coffee and Tea,,,,,,
Richmond,Dazzling Cafe,2.8,"7971 Alderbridge Way, Unit 140, Richmond, Richmond V6X 2A4",+16042730514,32,86,12.5,Cafe,Coffee and Tea,Sandwich,,,,,
Richmond,Earls,3.8,"Lansdowne Centre, 304-5300 Number 3 Road, Richmond V6X",+16043039702,96,56,35.0,Canadian,,,,,,,
Richmond,Bamboo Grove,3.7,"6920 Number 3 Road, Richmond V6Y",+16042789585,63,38,20.0,Chinese,Asian,,,,,,
Richmond,White Spot,3.7,"5880 Number 3 Road, Richmond V6X2E1",+16042733699,82,107,25.0,Canadian,,,,,,,
Richmond,The TRUE'STEA Restaurant,2.6,"180-8400 Alexandra Road, Richmond V6X 1C3",+16042078469,78,70,15.0,Chinese,Taiwanese,Asian,,,,,
Richmond,Harold's Bistro & Bar,3.9,"Sheraton, 7551 Westminster Highway, Richmond V6X 0B5",+16042333968,61,55,45.0,Canadian,,,,,,,
Richmond,75 West Coast Grill,3.6,"Marriott, 7571 Westminster Highway, Richmond V6X1A3",+16042322804,64,81,40.0,Pacific Northwest,Canadian,,,,,,
Richmond,Leung Kee Cantonese Food,3.7,"3030-4151 Hazelbridge Way, Richmond V6X 4J7",+16042958212,75,62,12.5,Fast Food,Cantonese,Hong Kong Style,Chinese,Asian,,,
Richmond,Copa Cafe,2.7,"105-6200 River Road, Richmond V7C 4N1",+16042768972,55,87,20.0,Chinese,Asian,,,,,,
Richmond,Newton Beef Noodle House,3.3,"150-8191 Saba Road, Richmond V6Y 4B4",+16042840886,44,62,15.0,Taiwanese,,,,,,,
Richmond,Tramonto - River Rock Casino Resort,3.4,"River Rock Casino Resort, 8811 River Road, Richmond V6X 3P8",+16042478573,54,104,50.0,Seafood,Pacific Northwest,,,,,,
Richmond,Pho 99 Vietnamese Noodle House,3.8,"180-8611 Alexandra Road, Richmond V6X",+16042786363,73,59,15.0,Vietnamese,Asian,,,,,,
Richmond,Wing Kee Restaurant,3.7,"120-8260 Granville Avenue, Richmond V6Y 1P3",+16042701825,53,48,20.0,Chinese,Asian,,,,,,
Richmond,Fortune Terrace Chinese Cuisine,3.0,"130-6200 River Road, Richmond V7C 4N1",+16042858980,30,143,,Cantonese,Chinese,,,,,,
Richmond,Pho Han,3.8,"Oak's Plaza, 110-9020 Capstan Way, Richmond V6X",+16042845589,64,45,12.5,Vietnamese,Asian,,,,,,
Richmond,Shiny Tea,3.4,"Aberdeen Square, 2340-4000 Number 3 Road, Richmond V6X 0J8",+16045884242,64,45,7.5,Beverages,Bubble Tea,Taiwanese,Asian,,,,
Richmond,The Captain's Boil,3.0,"1226 - 8338 Capstan Way, Richmond V6X 4B5",+16042790158,32,37,,Cajun,Seafood,,,,,,
Richmond,Shun Feng Seafood Restaurant,2.6,"1425-4380 Number 3 Road, Richmond V6X 2C2",+16043046088,60,115,30.0,Dim Sum,Cantonese,Chinese,Asian,,,,
Richmond,Peanut's Bubble Tea,3.9,"Richmond Public Market, Level 2, 2130-8260 Westminster Highway, Richmond V6X 1A7",+16042789372,90,19,7.5,Bubble Tea,Beverages,,,,,,
Richmond,Yuan's Shanghai Serendipity Cuisine,3.1,"180-4260 Number 3 Road, Richmond V6X 2C2",+17788681238,38,111,12.5,Chinese,,,,,,,
Richmond,8 Juice,4.1,"Aberdeen Centre, 3150-4151 Hazelbridge Way, Richmond V6X 4J7",+16042845566,83,18,10.0,Juices,Beverages,,,,,,
Richmond,IHOP,3.2,"6780 Number 3 Road, Richmond, Richmond V6Y 2C1",+16042733411,76,68,12.5,American,,,,,,,
Richmond,Yue Restaurant,3.5,"110-8351 Alexandra Rd, Richmond, BC V6X 1C3, Richmond V6X",+16042331219,34,94,20.0,Chinese,Cantonese,,,,,,
Richmond,Midam Richmond,2.8,"4651 Garden City Rd,Richmond, Richmond V6X 4A9",+16042841400,25,65,20.0,Korean,,,,,,,
Richmond,Shun Xin Hot Pot,3.7,"Park Village, 8111 Park Road, Richmond V6Y",+16042782703,52,19,20.0,Chinese,Asian,,,,,,
Richmond,Szechuan Delicious Restaurant,3.8,"Time Square, 6610 Number 3 Road, Richmond V6Y 2C1",+16042761780,44,25,17.5,Chinese,Asian,,,,,,
Richmond,Old Xian's Food,3.0,"Venezia Place, 2010-8580 Alexandra Road, Richmond V6X 4B3",+16043703888,34,45,12.5,Chinese,Asian,,,,,,
Richmond,Liuyishou Hotpot Richmond,3.7,"150-4731 Garden City Road, Richmond V6Y 1P9",+16042856122,41,33,25.0,Chinese,,,,,,,
Richmond,K. K. Dollar Hot Pot,3.2,"4200 Number 3 Road, Richmond V6X2C4",+16042795588,31,62,30.0,Chinese,Asian,,,,,,
Richmond,Golden Sichuan Restaurant,3.1,"Richview Plaza, 170-3631 Number 3 Road, Richmond V6X2B8",+16042889058,38,44,22.5,Chinese,Sichuan,Asian,,,,,
Richmond,Silkway Halal Cuisine Restaurant,3.6,"110-8188 Saba Road, Richmond V6Y 4E2",+16042786788,32,46,17.5,Xinjiang,Chinese,Asian,,,,,
Richmond,R&H Chinese Food,3.7,"5300 Number 3 Road, Richmond V6X 2X9",+17782975668,51,30,12.5,Fast Food,Shanghai,Chinese,Asian,,,,
Richmond,Boston Pizza,2.2,"50 8100 Ackroyd Road, Central Richmond, Richmond, Richmond V6X3J9",+16042736151,72,48,22.5,Pizza,Bar Food,,,,,,
Richmond,Gee! Taste Good,3.7,"Pacific Plaza Food Court, Level 2, 2200-8888 Odlin Crescent, Richmond V6X",+16047287326,26,60,7.5,Fast Food,Asian,,,,,,
Richmond,Meet Fresh,3.1,"1136 8328 Capstan Way, Richmond, Richmond V6X 4B6",+17788681666,31,32,7.5,Desserts,,,,,,,
Richmond,New Concept Hot Pot,3.3,"Richspot Plaza, 168-8131 Westminster Highway, Richmond V6X",+16043039555,45,23,20.0,Chinese,Asian,,,,,,
Richmond,Parker Place Meat & BBQ,3.9,"1020-4380 Number 3 Road, Richmond V6X 3V7",+16042331138,37,27,12.5,Fast Food,Cantonese,Chinese,Asian,,,,
Richmond,New Spicy Chili,3.0,"160-4200 Number 3 Road, Richmond V6X2C4",+16042733388,37,41,22.5,Chinese,Sichuan,Asian,,,,,
Richmond,Twinkle Cube Cafe,3.2,"Central Plaza, 4231 Hazelbridge Way, Richmond",+16042958728,20,99,10.0,Asian,Desserts,,,,,,
Richmond,Kanpeki Teppanyaki Restaurant,3.1,"140-8351 Alexandra Road, Richmond V6X1C3",+16048211323,53,13,45.0,Japanese,,,,,,,
Richmond,Kyabia Japanese Restaurant,3.2,"1028-8300 Capstan Way, Richmond V6X 4B7",+16042858882,16,46,,Japanese,Soul Food,Sushi,,,,,
Richmond,Janice Cake Shop,3.8,"Union Square, 1106-8328 Capstan Way, Richmond V6X 2H6",+16043037718,55,21,7.5,Bakery,Chinese,Asian,,,,,
Richmond,Zhao's Soup House,3.6,"8511 Alexandra Road, Richmond V6X",+16042799997,22,55,25.0,Chinese,,,,,,,
Richmond,Northern Chinese Countryside Restaurant,3.7,"140-4200 Number 3 Road, Richmond V6X 2C4",+16043043293,32,33,22.5,Chinese,Northern Chinese,Asian,,,,,
Richmond,Froshberg Gelato,3.9,"Richmond Centre, 6551 Number 3 Road, Richmond V6Y",+17785880979,44,11,7.5,Ice Cream,Desserts,,,,,,
Richmond,Seoul Express,3.9,"Yaohan Centre, Food Court, 1095-3700 Number 3 Road, Richmond V6X",+16048211775,40,15,12.5,Fast Food,Korean,,,,,,
Richmond,Pho Hoa Noodle Soup,2.8,"Connaught Plaza, 100-8500 Alexandra Road, Richmond V6X1C3",+16042702827,57,26,15.0,Vietnamese,,,,,,,
Richmond,Yougo Chicken,3.4,"Aberdeen Centre, Food Court, 3120-4151 Hazelbridge Way, Richmond V6X 0A4",+16042856695,33,28,12.5,Fast Food,Taiwanese,Asian,,,,,
Richmond,Oriental Dumpling King,3.4,"120-4200 Number 3 Road, Richmond V6X 4E8",+16042791728,20,46,22.5,Northern Chinese,Chinese,Asian,,,,,
Richmond,Kizami Japanese Cuisine,3.4,"120-8031, Leslie Road, Richmond, Richmond V6X 1E4",+16042472682,13,72,15.0,Japanese,,,,,,,
Richmond,Crepe Delicious,2.9,"Richmond Centre, Food Court, 6551 Number 3 Road, Richmond V6Y 2B6",+16043703837,47,36,10.0,Desserts,,,,,,,
Richmond,Redbud Restaurant,3.4,"8360 Granville Avenue, Richmond V6Y 0A7",+16049986776,29,42,15.0,Chinese,Asian,,,,,,
Richmond,Afghan Chopan Bakery & Diner,3.8,"6652 Number 3 Road, Richmond V6Y 2B8",+16042786555,29,6,12.5,Afghan,,,,,,,
Richmond,New New Chili Hot Pot,3.8,"Venezia Place, 1185-8580 Alexandra Road, Richmond V6X",+16043030086,17,35,22.5,Sichuan,Chinese,Asian,,,,,
Richmond,Tian Shi Fu Restaurant,3.0,"8251 Alexandra Road, Richmond, Richmond V6X 1C3",+16042769168,27,35,20.0,Chinese,,,,,,,
Richmond,Chuan BBQ Restaurant,3.3,"140-8291 Westminster Hwy, Richmond",+17782975577,30,9,17.5,Chinese,Asian,,,,,,
Richmond,Bushuair Restaurant,3.5,"Empire Centre, 121-4540 Number 3 Road, Richmond V6X",+16042853668,23,33,17.5,Chinese,Sichuan,,,,,,
Richmond,Morals Village,3.2,"Empire Centre, 4540 Number 3 Road, Richmond V6X 1E4",+17782373737,20,69,12.5,Chinese,Sichuan,Asian,,,,,
Richmond,CAVU Kitchen Bar - Hilton Vancouver Hotel,3.0,"Hilton Vancouver Hotel, 5911 Minoru Boulevard, Richmond V6X4C7",+16042736336,24,68,30.0,Canadian,,,,,,,
Richmond,Le Tea 樂茶,2.9,"1161-3779 Sexsmith Road, Richmond, Richmond V6X 3Z9",+16042487576,16,16,7.5,Cafe,Chinese,Bubble Tea,Juices,,,,
Richmond,Shanghai Ting,3.7,"Empire Centre, Food Court, 1130-4540 Number 3 Road, Richmond V6X4E8",+16042788335,21,27,12.5,Fast Food,Shanghai,Chinese,Asian,,,,
Richmond,Round Table Pizza,3.8,"Blundell Centre, 198-8120 Number 2 Road, Richmond V7C5J8",+16042751313,52,8,12.5,Pizza,,,,,,,
Richmond,Legends Pub,3.7,"9031 Blundell Road, Richmond V6Y 4J4",+16042762343,38,44,20.0,Bar Food,,,,,,,
Richmond,Chef Liu Kitchen,3.4,"Richmond Public Market, Level 2, Food Court, 8260 Westminster Highway, Richmond V6X 1A7",+17788838128,26,28,12.5,Fast Food,Chinese,Asian,,,,,
Richmond,Wah Yuen Noodle House,3.6,"Yaohan Centre, Food Court, 3700 Number 3 Road, Richmond V6X",+16042319080,31,33,12.5,Fast Food,Cantonese,Chinese,Asian,,,,
Richmond,IceQueen,3.3,"2355 - 4000 Number 3 Road, Richmond, Richmond BC V6X",+16042487590,10,24,7.5,Desserts,Ice Cream,,,,,,
Richmond,Connie's Curry Kitchen,3.8,"Parker Place, 1235-4380 Number 3 Road, Richmond V6X 3V7",+16042313773,34,23,12.5,Chinese,,,,,,,
Richmond,QQ Bubble Tea & Coffee,3.9,"Richmond Public Market, Level 2, 2395-8260 Westminster Highway, Richmond V6X 3Y2",+17788589477,24,52,7.5,Bubble Tea,Beverages,Asian,,,,,
Richmond,Big Chef Restaurant,3.8,"Venezia Place, 1060-8580 Alexandra Road, Richmond V6X",+16042070386,33,14,17.5,Cantonese,Chinese,,,,,,
Richmond,Big G Large Fried Chicken,3.3,"#1231 - 8338 Capstan Way, Metro Vancouver, Richmond V6X 4B5",+16042789661,7,21,7.5,Taiwanese,Fast Food,,,,,,
Richmond,Fair Bee Coffee & Tea,3.8,"Lansdowne Centre, 222-5300 Number 3 Road, Richmond V6X 2X9",+16042708198,36,18,10.0,Cafe,,,,,,,
Richmond,Kung Fu Noodle,3.1,"Venezia Place, 1015-8580 Alexandra Road, Richmond V6X 4B3",+16042845258,19,46,15.0,Chinese,Asian,,,,,,
Richmond,Gyu-Kaku Japanese BBQ,3.7,"7971 Alderbridge Way Unit 120, Richmond, BC V6X 2A4, Richmond",+16045583837,12,99,10.0,Fast Food,Chinese,,,,,,
Richmond,Umi Sushi Express,2.6,"Richmond Centre, Food Court, 6551 Number 3 Road, Richmond V6Y 2C1",+16042768879,41,27,10.0,Sushi,Japanese,Asian,Fast Food,,,,
Richmond,Neptune Wonton Noodle,2.6,"Richport Town Centre, 110-8171 Ackroyd Road, Richmond V6X 3K1",+16042079889,26,49,15.0,Cantonese,Chinese,Asian,,,,,
Richmond,Kitcho Izakaya,3.5,"133-4800 Number 3 Road, Richmond, BC, Richmond V6X 3A6 3A6",+16042071188,11,49,27.5,Japanese,Asian,,,,,,
Richmond,Fukuroku Sushi Express,3.5,"4651 Number 3 Road, Richmond V6Y1N3",+16042790922,37,22,12.5,Sushi,Japanese,,,,,,
Richmond,Lai Taste,3.6,"Parker Place, 1240-4380 Number 3 Road, Richmond V6X 2C4",+16043396263,32,16,12.5,Fast Food,Chinese,Vietnamese,Asian,,,,
Richmond,Royal Seafood Restaurant,3.0,"Garden City Shopping Centre, 200-8040 Garden City Road, Richmond V6y 2N6",+16042739911,18,105,20.0,Cantonese,Seafood,Dim Sum,,,,,
Richmond,Togo Sushi,3.5,"Richmond Centre, 2010-6060 Minoru Boulevard, Richmond V6Y 4A7",+16043041119,37,24,10.0,Sushi,Japanese,,,,,,
Richmond,BiBo Pizzeria,2.7,"McArthurGlen Designer Outlet, 1000-7899 Templeton Station Road, Richmond",+16042798889,15,53,37.5,Pizza,Italian,,,,,,
Richmond,Lung Kee Congee & Noodles,3.2,"Aberdeen Centre, Food Court, 3230-4151 Hazelbridge Way, Richmond V6X",+16043030911,27,26,12.5,Fast Food,Chinese,Asian,,,,,
Richmond,Chengdu Spicy Restaurant,2.9,"2150-8391 Alexandra Road, Richmond",+16042857999,15,28,15.0,Sichuan,Chinese,Asian,,,,,
Richmond,Pizza Hut,3.2,"8340 Westminster Highway, Richmond V6X3Y2",+16042331170,30,51,10.0,Pizza,Fast Food,,,,,,
Richmond,Alley BBQ Restaurant,3.4,"7997 Westminster Hwy, Unit 250, Richmond, Richmond V6X 1A4",+17782977255,12,16,37.5,BBQ,,,,,,,
Richmond,Yummy Yummy,3.4,"Parker Place, Food Court, 1238-4380 Number 3 Road, Richmond V6X 4E8",+16042708830,28,15,12.5,Fast Food,Hong Kong Style,Chinese,Asian,,,,
Richmond,Chef of Dumplings,2.9,"Aberdeen Centre, Food Court, 4000-4151 Hazelbridge Way, Richmond",Not available for this place,29,26,10.0,Fast Food,Dim Sum,Chinese,Asian,,,,
Richmond,Cactus Club Cafe Richmond Centre,3.3,"6551 Number 3 Road #1666, Richmond V6Y 2B6",+16042449969,29,57,35.0,Canadian,,,,,,,
Richmond,Church's Chicken,3.1,"Garden City Shopping Centre, 120-9100 Blundell Road, Richmond V6Y2N9",+16042440318,33,12,10.0,Fast Food,,,,,,,
Richmond,Super Stars Cafe,2.9,"110-8080 Leslie Road, Richmond V6X 2C4",+16042481293,11,54,12.5,Hong Kong Style,Chinese,Asian,,,,,
Richmond,Shanghai Goodies,3.8,"Parker Place, Food Court, 1390-4380 Number 3 Road, Richmond V6X4E8",+16042321227,18,18,10.0,Fast Food,Shanghai,Chinese,Asian,,,,
Richmond,Sea Fortune Restaurant,3.4,"8360 Granville Avenue 145, Richmond V6Y 1P3",+16042732028,25,101,,Chinese,Dim Sum,Seafood,,,,,
